"ticker","date","value","field","variable","nice_field"
"MXAP Index",1997-02-28,108.3234,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-03-31,104.4991,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-04-30,106.6226,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-05-30,115.8112,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-06-30,123.0413,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-07-31,120.6228,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-08-29,107.4246,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-09-30,106.7617,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-10-31,93.1575,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-11-28,87.5906,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1997-12-31,83.4602,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-01-30,87.4469,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-02-27,91.3699,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-03-31,87.0176,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-04-30,84.8986,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-05-29,78.4456,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-06-30,77.4616,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-07-31,76.3129,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-08-31,66.9946,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-09-30,67.4199,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-10-30,78.8526,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-11-30,83.157,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1998-12-31,85.674,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-01-29,86.3196,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-02-26,84.4073,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-03-31,95.239,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-04-30,102.349,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-05-31,97.0624,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-06-30,107.2392,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-07-30,113.8177,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-08-31,113.3486,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-09-30,116.8309,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-10-29,121.1137,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-11-30,127.5915,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",1999-12-31,135.9439,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-01-31,131.1362,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-02-29,127.8511,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
