"ticker","date","value","field","variable","nice_field"
"SPGSCITR Index",1974-06-28,360.07,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-07-31,445.88,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-08-30,424.01,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-09-30,475.31,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-10-31,518.09,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-11-29,528.17,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1974-12-31,484.49,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-01-31,408.74,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-02-28,366.18,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-03-31,397.12,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-04-30,378.8,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-05-30,373.11,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-06-30,379.26,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-07-31,408.96,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-08-29,448.24,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-09-30,453.35,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-10-31,416.9,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-11-28,411.82,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1975-12-31,401.05,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-01-30,381.86,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-02-27,403.7,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-03-31,404.53,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-04-30,420.1,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-05-31,427.7,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-06-30,420.56,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-07-30,383.33,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-08-31,372.55,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-09-30,335.73,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-10-29,331.59,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-11-30,336.32,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1976-12-31,353.23,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-01-31,352.29,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-02-28,351.42,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-03-31,364.21,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-04-29,383.26,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-05-31,370.1,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-06-30,361.14,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-07-29,330.39,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-08-31,333.63,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-09-30,345.8,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-10-31,355.75,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-11-30,370.87,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1977-12-30,389.86,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-01-31,402.43,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-02-28,408.77,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-03-31,450.97,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-04-28,460.66,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-05-31,495.79,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-06-30,449.49,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-07-31,461.74,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-08-31,474.34,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-09-29,501.02,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-10-31,506.05,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-11-30,519.15,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1978-12-29,513.08,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-01-31,550.09,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-02-28,582.29,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-03-30,571.95,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-04-30,606.17,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-05-31,577.61,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-06-29,585.34,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-07-31,560.91,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-08-31,625.51,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-09-28,652.39,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-10-31,631.74,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-11-30,675.53,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1979-12-31,686.56,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-01-31,727.92,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-02-29,721.19,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-03-31,620.39,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-04-30,643.38,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-05-30,682.5,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-06-30,720.92,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-07-31,755.15,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-08-29,767.3,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-09-30,810.18,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-10-31,835.6,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-11-28,824,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1980-12-31,762.66,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-01-30,714.2,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-02-27,693.47,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-03-31,692.3,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-04-30,682.85,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-05-29,686.55,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-06-30,642.93,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-07-31,672.16,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-08-31,650.09,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-09-30,649.26,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-10-30,651.22,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-11-30,621.87,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1981-12-31,587.18,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-01-29,634.12,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-02-26,619.87,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-03-31,642.99,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-04-30,666.17,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-05-31,667.68,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-06-30,647.59,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-07-30,661.66,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-08-31,660.17,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-09-30,640.87,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-10-29,637.15,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-11-30,662.58,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1982-12-31,655.05,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-01-31,659.62,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-02-28,652.08,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-03-31,696.02,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-04-29,702.84,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-05-31,706.54,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-06-30,715.59,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-07-29,740.79,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-08-31,753.78,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-09-30,733.3,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-10-31,724.35,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-11-30,724.98,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1983-12-30,761.53,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-01-31,769.52,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-02-29,773.2,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-03-30,811.16,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-04-30,802.04,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-05-31,825.33,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-06-29,806.68,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-07-31,752.5,"PX LAST","Commodities TR","Price TR"
"SPGSCITR Index",1984-08-31,784.8,"PX LAST","Commodities TR","Price TR"
