"ticker","date","value","field","variable","nice_field"
"MXTH INDEX",1992-01-31,10.4683,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-02-28,10.4975,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-03-31,11.1116,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-04-30,10.2777,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-05-29,9.5767,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-06-30,10.3786,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-07-31,10.2221,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-08-31,10.4572,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-09-30,11.7742,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-10-30,13.0319,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-11-30,12.328,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1992-12-31,12.5644,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-01-29,14.0847,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-02-26,13.8767,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-03-31,12.754,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-04-30,13.1378,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-05-31,12.7969,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-06-30,13.3464,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-07-30,13.6872,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-08-31,14.0917,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-09-30,14.3742,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-10-29,18.6067,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-11-30,19.4091,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1993-12-31,24.9891,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1994-01-31,22.5548,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
"MXTH INDEX",1994-02-28,20.421,"TOT RETURN INDEX GROSS DVDS","Tailandia","Price TR"
