"ticker","date","value","field","variable","nice_field"
"MXFEJ Index",1999-05-31,1.535,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-06-30,1.7987,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-07-30,1.955,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-08-31,1.9805,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-09-30,1.8203,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-10-29,2.0675,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-11-30,2.2718,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",1999-12-31,2.4348,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-01-31,2.3895,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-02-29,2.2631,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-03-31,2.3689,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-04-28,2.084,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-05-31,1.4722,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-06-30,1.5387,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-07-31,1.4917,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-08-31,1.4584,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-09-29,1.2881,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-10-31,1.625,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-11-30,1.4982,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2000-12-29,1.4924,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-01-31,1.7174,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-02-28,1.6336,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-03-30,1.455,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-04-30,1.4374,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-05-31,1.5261,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-06-29,1.4932,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-07-31,1.268,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-08-31,1.2448,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-09-28,1.0448,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-10-31,1.1091,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-11-30,1.2506,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2001-12-31,1.3644,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-01-31,1.4108,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-02-28,1.4122,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-03-29,1.5112,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-04-30,1.6265,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
